"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","condition","correct","correct_instructions1_sketchpad","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_Finish_sketchpad","count_ISI_sketchpad","count_Sequence","count_errorFeedback_sketchpad","count_experiment","count_faster_sketchpad","count_fixation_sketchpad","count_instructions1_sketchpad","count_keyboard_response","count_logger","count_new_1_sketchpad","count_new_sketchpad","count_stimulus_sketchpad","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish_sketchpad","response_instructions1_sketchpad","response_keyboard_response","response_new_1_sketchpad","response_new_sketchpad","response_time","response_time_Finish_sketchpad","response_time_instructions1_sketchpad","response_time_keyboard_response","response_time_new_1_sketchpad","response_time_new_sketchpad","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_Finish_sketchpad","time_ISI_sketchpad","time_Sequence","time_errorFeedback_sketchpad","time_experiment","time_faster_sketchpad","time_fixation_sketchpad","time_instructions1_sketchpad","time_keyboard_response","time_logger","time_new_1_sketchpad","time_new_sketchpad","time_stimulus_sketchpad","title","total_correct","total_response_time","total_responses","width"
"94","94","523","523","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","0","52","52","52","0","52","52","0","52","52","0","0","52","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","52","52","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","523.0","NA","39738","523","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","41410","NA","NA","NA","128948","129978","79012","1670","NA","129979","1672","130079","130603","NA","NA","130079","Flanker task","50","27769.0","53","1024"
"94","94","527","527","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","0","53","53","53","0","53","53","0","53","53","0","0","53","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","53","53","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","690.0","NA","39738","690","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","41410","NA","NA","NA","130637","131664","79012","1670","NA","131665","1672","131765","132456","NA","NA","131765","Flanker task","51","28459.0","54","1024"
"94","94","528","528","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","0","54","54","54","0","54","54","0","54","54","0","0","54","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","54","54","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","601.0","NA","39738","601","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","41410","NA","NA","NA","132459","133485","79012","1670","NA","133486","1672","133586","134187","NA","NA","133586","Flanker task","52","29060.0","55","1024"
"94","94","527","527","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","0","55","55","55","0","55","55","0","55","55","0","0","55","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","55","55","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","471.0","NA","39738","471","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","41410","NA","NA","NA","134218","135248","79012","1670","NA","135249","1672","135349","135820","NA","NA","135349","Flanker task","53","29531.0","56","1024"
"94","94","526","526","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","0","56","56","56","0","56","56","0","56","56","0","0","56","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","56","56","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","507.0","NA","39738","507","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","41410","NA","NA","NA","135824","136847","79012","1670","NA","136848","1672","136949","137456","NA","NA","136948","Flanker task","54","30038.0","57","1024"
"94","94","526","526","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","0","57","57","57","0","57","57","0","57","57","0","0","57","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","57","57","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","516.0","NA","39738","516","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","41410","NA","NA","NA","137460","138483","79012","1670","NA","138484","1672","138584","139100","NA","NA","138584","Flanker task","55","30554.0","58","1024"
"94","94","529","529","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","0","58","58","58","0","58","58","0","58","58","0","0","58","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","58","58","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","690.0","NA","39738","690","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","41410","NA","NA","NA","139132","140155","79012","1670","NA","140156","1672","140256","140947","NA","NA","140256","Flanker task","56","31244.0","59","1024"
"95","95","530","530","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","0","59","59","59","0","59","59","0","59","59","0","0","59","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","59","59","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","587.0","NA","39738","587","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","41410","NA","NA","NA","140982","142005","79012","1670","NA","142006","1672","142107","142695","NA","NA","142107","Flanker task","57","31831.0","60","1024"
"93","93","529","529","#3d3846","legacy","legacy","legacy","incongruent","0","undefined","0","h","0","0","0","0","60","60","60","0","60","60","0","60","60","0","0","60","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","60","60","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","477.0","NA","39738","477","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","41410","NA","NA","NA","142719","143744","79012","1670","NA","143745","1672","143845","144324","NA","NA","143845","Flanker task","57","32308.0","61","1024"
"93","93","532","532","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","0","61","61","61","0","61","61","0","61","61","0","0","61","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","61","61","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","683.0","NA","39738","683","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","41410","NA","NA","NA","144855","145879","144355","1670","NA","145880","1672","145981","146665","NA","NA","145981","Flanker task","58","32991.0","62","1024"
"93","93","531","531","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","0","62","62","62","0","62","62","0","62","62","0","0","62","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","62","62","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","480.0","NA","39738","480","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","41410","NA","NA","NA","146669","147697","144355","1670","NA","147698","1672","147799","148280","NA","NA","147798","Flanker task","59","33471.0","63","1024"
"93","93","529","529","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","0","63","63","63","0","63","63","0","63","63","0","0","63","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","63","63","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","415.0","NA","39738","415","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","41410","NA","NA","NA","148315","149341","144355","1670","NA","149342","1672","149443","149858","NA","NA","149442","Flanker task","60","33886.0","64","1024"
"93","93","527","527","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","0","64","64","64","0","64","64","0","64","64","0","0","64","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","64","64","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","406.0","NA","39738","406","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","41410","NA","NA","NA","149895","150924","144355","1670","NA","150925","1672","151026","151432","NA","NA","151026","Flanker task","61","34292.0","65","1024"
"93","93","526","526","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","0","65","65","65","0","65","65","0","65","65","0","0","65","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","65","65","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","465.0","NA","39738","465","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","41410","NA","NA","NA","151436","152460","144355","1670","NA","152461","1672","152562","153028","NA","NA","152562","Flanker task","62","34757.0","66","1024"
"94","94","525","525","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","0","66","66","66","0","66","66","0","66","66","0","0","66","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","66","66","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","439.0","NA","39738","439","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","41410","NA","NA","NA","153070","154095","144355","1670","NA","154096","1672","154197","154637","NA","NA","154197","Flanker task","63","35196.0","67","1024"
"94","94","523","523","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","0","67","67","67","0","67","67","0","67","67","0","0","67","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","67","67","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","434.0","NA","39738","434","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","41410","NA","NA","NA","154681","155705","144355","1670","NA","155706","1672","155807","156241","NA","NA","155807","Flanker task","64","35630.0","68","1024"
"94","94","523","523","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","0","68","68","68","0","68","68","0","68","68","0","0","68","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","68","68","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","465.0","NA","39738","465","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","41410","NA","NA","NA","156245","157270","144355","1670","NA","157271","1672","157372","157838","NA","NA","157371","Flanker task","65","36095.0","69","1024"
"94","94","523","523","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","0","69","69","69","0","69","69","0","69","69","0","0","69","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","69","69","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","516.0","NA","39738","516","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","41410","NA","NA","NA","157863","158887","144355","1670","NA","158888","1672","158988","159504","NA","NA","158988","Flanker task","66","36611.0","70","1024"
"94","94","523","523","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","0","70","70","70","0","70","70","0","70","70","0","0","70","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","70","70","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","568.0","NA","39738","568","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","41410","NA","NA","NA","159537","160562","144355","1670","NA","160563","1672","160663","161232","NA","NA","160663","Flanker task","67","37179.0","71","1024"
"94","94","523","523","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","0","71","71","71","0","71","71","0","71","71","0","0","71","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","71","71","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","523.0","NA","39738","523","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","41410","NA","NA","NA","161254","162277","144355","1670","NA","162278","1672","162379","162903","NA","NA","162378","Flanker task","68","37702.0","72","1024"
"94","94","524","524","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","0","72","72","72","0","72","72","0","72","72","0","0","72","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","72","72","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","592.0","NA","39738","592","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","41410","NA","NA","NA","162907","163933","144355","1670","NA","163934","1672","164035","164628","NA","NA","164034","Flanker task","69","38294.0","73","1024"
"94","94","533","533","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","0","73","73","73","0","73","73","0","73","73","0","0","73","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","73","73","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","1188.0","NA","39738","1188","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","41410","NA","NA","NA","164660","165715","144355","1670","NA","165716","1672","165817","167006","NA","NA","165816","Flanker task","70","39482.0","74","1024"
"94","94","534","534","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","0","74","74","74","0","74","74","0","74","74","0","0","74","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","74","74","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","575.0","NA","39738","575","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","41410","NA","NA","NA","167051","168076","144355","1670","NA","168077","1672","168177","168753","NA","NA","168177","Flanker task","71","40057.0","75","1024"
"94","94","536","536","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","0","75","75","75","0","75","75","0","75","75","0","0","75","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","75","75","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","722.0","NA","39738","722","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","41410","NA","NA","NA","168798","169825","144355","1670","NA","169826","1672","169926","170648","NA","NA","169926","Flanker task","72","40779.0","76","1024"
"94","94","535","535","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","0","76","76","76","0","76","76","0","76","76","0","0","76","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","76","76","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","482.0","NA","39738","482","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","41410","NA","NA","NA","170694","171719","144355","1670","NA","171720","1672","171821","172303","NA","NA","171820","Flanker task","73","41261.0","77","1024"
"94","94","534","534","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","0","77","77","77","0","77","77","0","77","77","0","0","77","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","77","77","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","464.0","NA","39738","464","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","41410","NA","NA","NA","172349","173372","144355","1670","NA","173373","1672","173474","173938","NA","NA","173473","Flanker task","74","41725.0","78","1024"
"94","94","533","533","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","0","78","78","78","0","78","78","0","78","78","0","0","78","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","78","78","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","458.0","NA","39738","458","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","41410","NA","NA","NA","173988","175014","144355","1670","NA","175015","1672","175115","175574","NA","NA","175115","Flanker task","75","42183.0","79","1024"
"93","93","533","533","#3d3846","legacy","legacy","legacy","incongruent","0","undefined","0","h","0","0","0","0","79","79","79","0","79","79","0","79","79","0","0","79","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","79","79","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","490.0","NA","39738","490","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","41410","NA","NA","NA","175623","176647","144355","1670","NA","176648","1672","176749","177240","NA","NA","176749","Flanker task","75","42673.0","80","1024"
"93","93","534","534","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","0","80","80","80","0","80","80","0","80","80","0","0","80","Tue Sep  5 19:10:39 2023","600","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","0","79","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","h","601.0","NA","39738","601","NA","24743","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","41410","203533","NA","NA","177789","203571","177289","1670","NA","203571","1672","203672","204273","NA","178790","203672","Flanker task","76","43274.0","81","1024"
"93","93","532","532","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","0","81","81","81","0","81","81","0","81","81","0","0","81","Tue Sep  5 19:10:39 2023","600","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","1","79","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","h","419.0","NA","39738","419","NA","24743","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","41410","203533","NA","NA","204798","205822","177289","1670","204298","205823","1672","205923","206342","NA","178790","205923","Flanker task","77","43693.0","82","1024"
"93","93","531","531","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","0","82","82","82","0","82","82","0","82","82","0","0","82","Tue Sep  5 19:10:39 2023","600","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","2","79","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","h","422.0","NA","39738","422","NA","24743","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","41410","203533","NA","NA","206346","207369","177289","1670","204298","207370","1672","207471","207894","NA","178790","207470","Flanker task","78","44115.0","83","1024"
"92","92","529","529","#3d3846","legacy","legacy","legacy","incongruent","0","undefined","0","s","0","0","0","0","83","83","83","0","83","83","0","83","83","0","0","83","Tue Sep  5 19:10:39 2023","600","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","3","79","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","h","388.0","NA","39738","388","NA","24743","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","41410","203533","NA","NA","207898","208921","177289","1670","204298","208922","1672","209022","209411","NA","178790","209022","Flanker task","78","44503.0","84","1024"
